id,should_trigger,invocation_type,prompt,notes
ds-01,true,explicit,"Use the $stackhawk-data-seed skill to set up seed data for my repo","Direct skill reference by name"
ds-02,true,implicit,"Set up data for HawkScan in this repo","Top-line trigger phrase from skill description"
ds-03,true,implicit,"My HawkScan run has no data to hit — can you seed it?","'no data to hit' keyword from description"
ds-04,true,implicit,"Seed this repo so HawkScan can authenticate and scan real paths","'seed this repo' phrasing"
ds-05,true,implicit,"I'm setting up HawkScan for the first time on this service — generate the seed data","First-time-setup phrasing"
ds-06,true,contextual,"HawkScan is logging in but every endpoint returns an empty list. Fix it.","Symptom-only prompt — the fix is seed data, not auth"
ds-07,true,contextual,"We added a new upstream auth-service repo. Refresh the test fixtures so HawkScan still works.","Augment existing seed when data shape changed"
ds-08,true,contextual,"Generate idempotent SQL inserts so my scan has a logged-in user, an org, and at least one app to hit","Describes the artifact, not the skill"
ds-09,false,negative,"Scan my API for vulnerabilities","Scan request → hawkscan skill"
ds-10,false,negative,"Show me my untriaged findings","Reporting query → stackhawk-api skill"
ds-11,false,negative,"Configure HawkScan in my GitHub Actions pipeline","CI config → hawkscan-ci skill"
ds-12,false,negative,"I just fixed a bug in the payment endpoint","Routine code change — skill is NOT autonomous; must not fire on post-change hook"
ds-13,false,negative,"Refactor the user service to use repositories instead of direct queries","Refactor — not autonomous; must not fire"
ds-14,false,negative,"Bootstrap a new Spring Boot project for me","Generic 'bootstrap' meaning project scaffolding — not our skill's domain"
ds-15,false,negative,"Write a database migration to add a 'role' column to users","DB migration is not seed data; not our skill's domain"
ds-16,false,negative,"Start the docker-compose stack and run the integration tests","Environment startup — skill explicitly forbids running services"
